PMID,Title,Authors,Journal,Year,Month,Day
34748175,"A better understanding of air quality resulting from the effects of the 2020 pandemic in a city in the equatorial region (Fortaleza, Brazil).","Rocha CA,Marques EV,Dos Santos RP,de Santiago ÍS,Cavalcante CLA,Cassiano DR,Ribeiro JP,Bertoncini BV,Nobre JS,Freitas JVB,Ferreira AG,Cavalcante RM",Environmental science and pollution research international,2022,3,
34748100,"Source identification and health risk assessments of polycyclic aromatic hydrocarbons in settled dusts from different population density areas of Ilorin, Nigeria.","Adeniran JA,Abdulraheem MO,Ameen HA,Odediran ET,Yusuf MO",Environmental monitoring and assessment,2021,11,8
34743025,Suppression of apoptotic signaling in rat hepatocytes by non-dioxin-like polychlorinated biphenyls depends on the receptors CAR and PXR.,"Gährs M,Schrenk D",Toxicology,2021,12,
34743013,"Effects of bisphenol A on the proliferation, migration, and tumor growth of colon cancer cells: In vitro and in vivo evaluation with mechanistic insights related to ERK and 5-HT3.","Jun JH,Oh JE,Shim JK,Kwak YL,Cho JS",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2021,12,
34742961,Health impacts and spatiotemporal variations of fine particulate and its typical toxic constituents in five urban agglomerations of China.,"Liu S,Tian H,Luo L,Bai X,Zhu C,Lin S,Zhao S,Zhang K,Hao J,Guo Z,Lv Y",The Science of the total environment,2022,2,1
34741739,Challenges of TiO<sub>2</sub> heterogeneous photocatalysis on cytostatic compounds degradation: state of the art.,"González-Burciaga LA,Núñez-Núñez CM,Proal-Nájera JB",Environmental science and pollution research international,2022,6,
34741734,Comprehensive insight into triclosan-from widespread occurrence to health outcomes.,"Milanović M,Đurić L,Milošević N,Milić N",Environmental science and pollution research international,2023,2,
34740674,Prevalence of second-hand tobacco smoke in relation to smoke-free legislation in the European Union.,"Schiavone S,Anderson C,Mons U,Winkler V",Preventive medicine,2022,1,
34740625,Nitrate contamination in drinking water and colorectal cancer: Exposure assessment and estimated health burden in New Zealand.,"Richards J,Chambers T,Hales S,Joy M,Radu T,Woodward A,Humphrey A,Randal E,Baker MG",Environmental research,2022,3,
34740347,Long-term exposure to road traffic noise and stroke incidence: a Danish Nurse Cohort study.,"Cole-Hunter T,Dehlendorff C,Amini H,Mehta A,Lim YH,Jørgensen JT,Li S,So R,Mortensen LH,Westendorp R,Hoffmann B,Bräuner EV,Ketzel M,Hertel O,Brandt J,Jensen SS,Christensen JH,Geels C,Frohn LM,Backalarz C,Simonsen MK,Loft S,Andersen ZJ",Environmental health : a global access science source,2021,11,6
34739444,Break-even Analysis of Respirable Crystalline Silica (RCS) Exposure Interventions in the Construction Sector.,"Tompa E,Mofidi A,Song C,Arrandale V,Jardine KJ,Davies H,Tenkate T,Demers PA",Journal of occupational and environmental medicine,2021,11,1
34739226,National Empirical Models of Air Pollution Using Microscale Measures of the Urban Environment.,"Lu T,Marshall JD,Zhang W,Hystad P,Kim SY,Bechle MJ,Demuzere M,Hankey S",Environmental science & technology,2021,11,16
34738185,Status of radon exposure in Bangladeshi locations and dwellings.,"Hasan MM,Janik M,Sakoda A,Iimoto T",Environmental monitoring and assessment,2021,11,4
34737802,Transient receptor potential ankyrin 1 and calcium: Interactions and association with disease (Review).,"Hu F,Song X,Long D",Experimental and therapeutic medicine,2021,12,
34736186,Polychlorinated biphenyl quinone exposure promotes breast cancer aerobic glycolysis: An in vitro and in vivo examination.,"Qin Q,Yang B,Liu J,Song E,Song Y",Journal of hazardous materials,2022,2,15
34735955,The effects of radiofrequency electromagnetic fields exposure on human self-reported symptoms: A protocol for a systematic review of human experimental studies.,"Bosch-Capblanch X,Esu E,Dongus S,Oringanje CM,Jalilian H,Eyers J,Oftedal G,Meremikwu M,Röösli M",Environment international,2022,1,
34733859,Case Report: Two Cases of Salivary Duct Carcinoma in Workers With a History of Chromate Exposure.,"Seçin I,Uijen MJM,Driessen CML,van Herpen CML,Scheepers PTJ",Frontiers in medicine,2021,,
34733352,Cell Proliferation and Tumor Induction by Ochratoxin A in Mouse Skin and Evaluation of Cyclin D1 and Cyclooxygenase-2 Expressions.,"Yang S,Wen Y",Computational and mathematical methods in medicine,2021,,
34732774,National cohort and meteorological data based nested case-control study on the association between air pollution exposure and thyroid cancer.,"Park SJ,Min C,Yoo DM,Choi HG",Scientific reports,2021,11,3
34727533,"The adsorption, kinetics, and interaction mechanisms of various types of estrogen on electrospun polymeric nanofiber membranes.","Yasir M,Šopík T,Lovecká L,Kimmer D,Sedlařík V",Nanotechnology,2021,11,24
34726823,Environmental pollutant N-N'ethylnitrosourea-induced leukemic NLRP3 inflammasome activation and its amelioration by Eclipta prostrata and its active compound wedelolactone.,"Bhattacharyya S,Law S",Environmental toxicology,2022,2,
34726550,Biomarkers of disease in human nails: a comprehensive review.,"Jaramillo Ortiz S,Howsam M,van Aken EH,Delanghe JR,Boulanger E,Tessier FJ",Critical reviews in clinical laboratory sciences,2022,3,
34724871,Quantitative structure-toxicity relationship models for predication of toxicity of ionic liquids toward leukemia rat cell line IPC-81 based on index of ideality of correlation.,"Ahmadi S,Lotfi S,Kumar P",Toxicology mechanisms and methods,2022,5,
34722581,Lung Cancer Death Attributable to Long-Term Ambient Particulate Matter (PM<sub>2.5</sub>) Exposure in East Asian Countries During 1990-2019.,"Liu X,Mubarik S,Wang F,Yu Y,Wang Y,Shi F,Wen H,Yu C",Frontiers in medicine,2021,,
34719580,Biological monitoring for exposure assessment of volatile organic compounds by Korean firefighters at the fire site.,"Kim HS,Jeong KS,Ahn YS,Song JH,Kim KY",Industrial health,2022,10,1
34719097,A multicenter retrospective analysis of the clinical and pathological characteristics of 1188 cases of actinic keratosis in different ultraviolet radiation intensity areas of China.,"Xu D,Sun JF,Qi RQ,Zhang W,Dong LD,Liu TY,Zheng S,Niu RX,Zhang J,Cui TT,He L,Chen HD",Journal of cosmetic dermatology,2022,7,
34718062,"Exposure to PM<sub>2.5</sub> induces neurotoxicity, mitochondrial dysfunction, oxidative stress and inflammation in human SH-SY5Y neuronal cells.","Lin CH,Nicol CJB,Wan C,Chen SJ,Huang RN,Chiang MC",Neurotoxicology,2022,1,
34717175,Short- and intermediate-term exposure to ambient fine particulate elements and leukocyte epigenome-wide DNA methylation in older men: the Normative Aging Study.,"Wang C,Cardenas A,Hutchinson JN,Just A,Heiss J,Hou L,Zheng Y,Coull BA,Kosheleva A,Koutrakis P,Baccarelli AA,Schwartz JD",Environment international,2022,1,
34715117,Epigenetic modifications in diabetes.,"Kowluru RA,Mohammad G",Metabolism: clinical and experimental,2022,1,
34713860,Efficacy and safety of acupuncture and moxibustion combined with the external application of traditional Chinese medicine in the treatment of primary liver cancer: A protocol for systematic review and meta-analysis.,"Wang S,Xiong Z,Liu Y,Leng Y,Deng H,Shen D,Meng X,Liu T",Medicine,2021,10,29
34712201,Medical Significance of Uterine Corpus Endometrial Carcinoma Patients Infected With SARS-CoV-2 and Pharmacological Characteristics of Plumbagin.,"Li Y,Yu S,Li Y,Liang X,Su M,Li R",Frontiers in endocrinology,2021,,
34711020,"Pollution investigation and risk assessment of polycyclic aromatic hydrocarbons in soil and water from selected dumpsite locations in rivers and Bayelsa State, Nigeria.","Okechukwu VU,Omokpariola DO,Onwukeme VI,Nweke EN,Omokpariola PL","Environmental analysis, health and toxicology",2021,12,
34710962,"Ambient volatile organic compounds in tropical environments: Potential sources, composition and impacts - A review.","Mohd Hanif N,Limi Hawari NSS,Othman M,Abd Hamid HH,Ahamad F,Uning R,Ooi MCG,Wahab MIA,Sahani M,Latif MT",Chemosphere,2021,12,
34710405,Human health risk assessment of lead (Pb) through the environmental-food pathway.,"Nag R,Cummins E",The Science of the total environment,2022,3,1
34709461,"Metal concentrations and potential health risk in clam (Meretrix lyrata Sowerby 1851) tissues from East Java Coast, Indonesia.","Soegianto A,Putranto TWC,Payus CM,Wahyuningsih D,Wati FNIR,Utamadi FHB,Widyaningsih NS,Sinuraya S",Environmental monitoring and assessment,2021,10,28
34706627,Systems toxicology approach explores target-pathway relationship and adverse health impacts of ubiquitous environmental pollutant bisphenol A.,"Nagarajan M,Maadurshni GB,Manivannan J",Journal of toxicology and environmental health. Part A,2022,3,19
34705209,Probabilistic approach for health hazard assessment of trihalomethanes through successive showering events.,"Parveen N,Chowdhury S,Goel S",Environmental science and pollution research international,2023,2,
34703818,Genomic Approach to the Assessment of Adverse Effects of Particulate Matters on Skin Cancer and Other Disorders and Underlying Molecular Mechanisms.,"Kee NG,Kim HS,Choi H,Kim HJ,Seo YR",Journal of cancer prevention,2021,9,30
34702139,"Assessment of heavy metals in wild and farmed tilapia (<i>Oreochromis niloticus</i>) on Lake Kariba, Zambia: implications for human and fish health.","Simukoko CK,Mwakalapa EB,Bwalya P,Muzandu K,Berg V,Mutoloki S,Polder A,Lyche JL","Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment",2022,1,
34700370,Cancer risk assessment of polycyclic aromatic hydrocarbons in the soil and sediments of Iran: a systematic review study.,"Rezaei Kalantary R,Jaafarzadeh N,Rezvani Ghalhari M,Hesami Arani M",Reviews on environmental health,2022,12,16
34700150,Evaluation of nitrogen and heavy metal pollution in southern Caspian Sea: Risk assessment and modeling approach.,"Irandoost F,Agah H,Eslami Z,Rossi L,Colloca F,Khalili A,Costantini ML",Marine pollution bulletin,2021,12,
34697958,"The Extensive and Expensive Impacts of HEp-2 [HeLa], Intestine 407 [HeLa], and Other False Cell Lines in Journal Publications.","Korch CT,Capes-Davis A",SLAS discovery : advancing life sciences R & D,2021,12,
34697651,"Assessment of the health risk and geo-accumulation of toxic metals in agricultural soil and wheat, northern Iran.","Zafarzadeh A,Taghani JM,Toomaj MA,Ramavandi B,Bonyadi Z,Sillanpää M",Environmental monitoring and assessment,2021,10,25
34697113,Cross-sectional study examining the accuracy of self-reported smoking status as compared to urinary cotinine levels among workers at risk for chronic kidney disease of unknown origin in Guatemala.,"Butler-Dawson J,Barnoya J,Brindley S,Krisher L,Fan W,Asensio C,Newman LS",BMJ open,2021,10,25
34696662,Effects of electrospun fiber curcumin on bisphenol A exposed Caco-2 cells.,"Turgut Y,Yurdakok-Dikmen B,Uyar R,Birer M,Filazi A,Acarturk F",Drug and chemical toxicology,2022,11,
34695678,Coordination-driven reversible supramolecular assembly formation at biological pH: Trace-level detection of Hg<sup>2+</sup> and I<sup>-</sup> ions in real life samples.,Dey N,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2022,2,15
34695511,Transcriptional effects of binary combinations of PFAS in FaO cells.,"Bjork JA,Dawson DA,Krogstad JO,Wallace KB",Toxicology,2021,12,
34695431,Consistency between air and biological monitoring for assessing polycyclic aromatic hydrocarbon exposure and cancer risk of workers.,"Valière M,Petit P,Persoons R,Demeilliers C,Maître A",Environmental research,2022,5,1
34693470,Bacterial bioluminescence assay for bioanalysis and bioimaging.,"Li Y,He X,Zhu W,Li H,Wang W",Analytical and bioanalytical chemistry,2022,1,
34690241,[Effects of ordinances prohibiting smoking in private homes with children following smoke-free household rules in Tokyo].,"Umeki Y,Tabuchi T",[Nihon koshu eisei zasshi] Japanese journal of public health,2021,12,24
34689300,Bioaccumulation and Heavy Metal Contamination in Fish Species of the Dhaleswari River of Bangladesh and Related Human Health Implications.,"Wahiduzzaman M,Islam MM,Sikder AHF,Parveen Z",Biological trace element research,2022,8,
34689286,Spatial geochemical differentiation of the iodine-induced health risk and distribution of thyroid cancer among urban and rural population of the Central Russian plain affected by the Chernobyl NPP accident.,"Korobova EM,Baranchukov VS,Kurnosova IV,Silenok AV",Environmental geochemistry and health,2022,6,
34688701,Inferred inactivation of the Cftr gene in the duodena of mice exposed to hexavalent chromium (Cr(VI)) in drinking water supports its tumor-suppressor status and implies its potential role in Cr(VI)-induced carcinogenesis of the small intestines.,"Mezencev R,Auerbach SS",Toxicology and applied pharmacology,2021,12,15
34688354,Co-benefits from sustainable dietary shifts for population and environmental health: an assessment from a large European cohort study.,"Laine JE,Huybrechts I,Gunter MJ,Ferrari P,Weiderpass E,Tsilidis K,Aune D,Schulze MB,Bergmann M,Temme EHM,Boer JMA,Agnoli C,Ericson U,Stubbendorff A,Ibsen DB,Dahm CC,Deschasaux M,Touvier M,Kesse-Guyot E,Sánchez Pérez MJ,Rodríguez Barranco M,Tong TYN,Papier K,Knuppel A,Boutron-Ruault MC,Mancini F,Severi G,Srour B,Kühn T,Masala G,Agudo A,Skeie G,Rylander C,Sandanger TM,Riboli E,Vineis P",The Lancet. Planetary health,2021,11,
34688277,"Changes in childhood experimentation with, and exposure to, tobacco and e-cigarettes and perceived smoking norms: a repeated cross-sectional study of 10-11 year olds' in Wales.","Hallingberg B,Angel L,Brown R,Copeland L,Gray L,Van Godwin J,Moore G",BMC public health,2021,10,23
34687822,Engineering macromolecular nanocarriers for local delivery of gaseous signaling molecules.,"Hu J,Fang Y,Huang X,Qiao R,Quinn JF,Davis TP",Advanced drug delivery reviews,2021,12,
34684636,"Three-Generation Study of Male Rats Gestationally Exposed to High Butterfat and Bisphenol A: Impaired Spermatogenesis, Penetrance with Reduced Severity.","Ho SM,Rao R,Ouyang B,Tam NNC,Schoch E,Song D,Ying J,Leung YK,Govindarajah V,Tarapore P",Nutrients,2021,10,17
34684244,Sea Turtles in the Cancer Risk Landscape: A Global Meta-Analysis of Fibropapillomatosis Prevalence and Associated Risk Factors.,"Dujon AM,Schofield G,Venegas RM,Thomas F,Ujvari B","Pathogens (Basel, Switzerland)",2021,10,8
34684180,"Environmental Pollutants, Mucosal Barriers, and Pathogen Susceptibility; The Case for Aflatoxin B<sub>1</sub> as a Risk Factor for HIV Transmission and Pathogenesis.","Madeen EP,Maldarelli F,Groopman JD","Pathogens (Basel, Switzerland)",2021,9,23
34682963,Engagement of Nepalese High-School Students in Cancer Awareness Using a Photovoice Based on the Health Belief Model.,"Poudel K,Sumi N","Healthcare (Basel, Switzerland)",2021,9,28
34682394,Use of Theory-Driven Report Back to Promote Lung Cancer Risk Reduction.,"Huntington-Moskos L,Rayens MK,Wiggins AT,Butler KM,Hahn EJ",International journal of environmental research and public health,2021,10,11
34678455,Producing fucoxanthin from algae - Recent advances in cultivation strategies and downstream processing.,"Leong YK,Chen CY,Varjani S,Chang JS",Bioresource technology,2022,1,
34677773,Bioaccumulation and health risk assessment of heavy metals in European eels taken from Lakes Köyceğiz (Turkey) and Võrtsjärv (Estonia).,"Demirak A,Keskin F,Silm M,Özdemir N,Yıldız D,Bernotas P,Öğlü B",Environmental science and pollution research international,2022,1,
34677689,"Ecosystem services and impact of industrial pollution on urban health: evidence from Durgapur, West Bengal, India.","Banerjee S,Banerjee A,Palit D",Environmental monitoring and assessment,2021,10,22
34677212,Bioengineering of Extracellular Vesicles: Exosome-Based Next-Generation Therapeutic Strategy in Cancer.,"Saha P,Datta S,Ghosh S,Samanta A,Ghosh P,Sinha D","Bioengineering (Basel, Switzerland)",2021,10,10
34675259,Enhanced photocatalytic and photodynamic activity of chitosan and garlic loaded CdO-TiO<sub>2</sub> hybrid bionanomaterials.,"Dhanalekshmi KI,Magesan P,Umapathy MJ,Zhang X,Srinivasan N,Jayamoorthy K",Scientific reports,2021,10,21
34673086,"Arsenic-induced lung inflammation and fibrosis in a rat model: Contribution of the HMGB1/RAGE, PI3K/AKT, and TGF-β1/SMAD pathways.","Wang W,Zheng F,Zhang A",Toxicology and applied pharmacology,2021,12,1
34673025,"Hydrogeochemical characteristics and risk evaluation of potential toxic elements in groundwater from Shanmughanadhi, Tamilnadu, India.","Vinnarasi F,Srinivasamoorthy K,Saravanan K,Rajesh Kanna A,Gopinath S,Prakash R,Ponnumani G,Babu C",Environmental research,2022,3,
34670124,"Methylmercury chronic exposure affects the expression of DNA single-strand break repair genes, induces oxidative stress, and chromosomal abnormalities in young dyslipidemic APOE knockout mice.","Roque CR,Sampaio LR,Ito MN,Pinto DV,Caminha JSR,Nunes PIG,Raposo RS,Santos FA,Windmöller CC,Crespo-Lopez ME,Alvarez-Leite JI,Oriá RB,Pinheiro RF",Toxicology,2021,12,
34669563,"The impact of second-hand smoke on ear, nose, and throat diseases and head and neck cancers in Japan: a cross-sectional study using a questionnaire and secondary data from the national health and nutrition survey.","Tsuzuki N,Wasano K,Kawasaki T,Minami S,Kurita A,Hashimoto Y,Sahara S,Ogawa K",Acta oto-laryngologica,2021,11,
34664238,"Efferocytosis and the Story of ""Find Me,"" ""Eat Me,"" and ""Don't Eat Me"" Signaling in the Tumor Microenvironment.","Banerjee HN,Bartlett V,Krauss C,Aurelius C,Johnston K,Hedley J,Verma M",Advances in experimental medicine and biology,2021,,
34664170,Trace metals and organochlorine pesticide residues in imported fishes in Bangladesh and human health risk implications.,"Islam MM,Avha NJ,Ahmed S,Akbor MA,Islam MS,Mostafiz F,Habibullah-Al-Mamun M",Environmental science and pollution research international,2022,3,
34662668,The role of microRNAs in regulating cadmium-induced apoptosis by targeting Bcl-2 in IEC-6 cells.,"Yang J,Chen W,Sun Y,Xia P,Liu J,Zhang W",Toxicology and applied pharmacology,2021,12,1
34662573,Cancer incidence in a Swedish cohort with high exposure to perfluoroalkyl substances in drinking water.,"Li H,Hammarstrand S,Midberg B,Xu Y,Li Y,Olsson DS,Fletcher T,Jakobsson K,Andersson EM",Environmental research,2022,3,
34661839,"Ecotoxicological risk assessment for sediments of Çavuşlu stream in Giresun, Turkey: association between garbage disposal facility and metallic accumulation.","Yüksel B,Ustaoğlu F,Tokatli C,Islam MS",Environmental science and pollution research international,2022,3,
34661176,"Anxiety, depression, and asthma: New perspectives and approaches for psychoneuroimmunology research.",Caulfield JI,"Brain, behavior, & immunity - health",2021,12,
34656631,The level of free-circulating mtDNA in patients with radon-induced lung cancer.,"Bulgakova O,Kussainova A,Kakabayev A,Aripova A,Baikenova G,Izzotti A,Bersimbaev R",Environmental research,2022,5,1
34655884,Individual and mixed effects of anticancer drugs on freshwater rotifers: A multigenerational approach.,"Martins N,Pradhan A,Pascoal C,Cássio F",Ecotoxicology and environmental safety,2021,12,20
34655872,MOF-74/polystyrene-derived Ni-doped hierarchical porous carbon for structure-oriented extraction of polycyclic aromatic hydrocarbons and their metabolites from human biofluids.,"Shi Y,Huang J,Chen L,Wang S,Xu J,Zhu F,Cui S,Zheng J,Ouyang G",Journal of hazardous materials,2022,2,15
34655695,High-resolution metabolomics of exposure to tobacco smoke during pregnancy and adverse birth outcomes in the Atlanta African American maternal-child cohort.,"Tan Y,Barr DB,Ryan PB,Fedirko V,Sarnat JA,Gaskins AJ,Chang CJ,Tang Z,Marsit CJ,Corwin EJ,Jones DP,Dunlop AL,Liang D","Environmental pollution (Barking, Essex : 1987)",2022,1,1
34655688,"Bisphenol A single and repeated treatment increases HDAC2, leading to cholinergic neurotransmission dysfunction and SN56 cholinergic apoptotic cell death through AChE variants overexpression and NGF/TrkA/P75<sup>NTR</sup> signaling disruption.","Moyano P,Flores A,García J,García JM,Anadon MJ,Frejo MT,Sola E,Pelayo A,Del Pino J",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2021,11,
34655625,The role of adipose tissue analysis on Environmental Pollutants Biomonitoring in women: The European scenario.,"Sousa S,Maia ML,Delerue-Matos C,Calhau C,Domingues VF",The Science of the total environment,2022,2,1
34654946,The impact of particulate matter 2.5 on the risk of hepatocellular carcinoma: a meta-analysis.,"Wu ZH,Zhao M,Yu H,Li HD",International archives of occupational and environmental health,2022,4,
34654571,Phthalates and attributable mortality: A population-based longitudinal cohort study and cost analysis.,"Trasande L,Liu B,Bao W","Environmental pollution (Barking, Essex : 1987)",2022,1,1
34653461,Light pollution as a factor in breast and prostate cancer.,"Lamphar H,Kocifaj M,Limón-Romero J,Paredes-Tavares J,Chakameh SD,Mego M,Prado NJ,Baez-López YA,Diez ER",The Science of the total environment,2022,2,1
34652533,Childhood cancer and residential proximity to petrol stations: a nationwide registry-based case-control study in Switzerland and an updated meta-analysis.,"Mazzei A,Konstantinoudis G,Kreis C,Diezi M,Ammann RA,Zwahlen M,Kühni C,Spycher BD",International archives of occupational and environmental health,2022,7,
34651267,Combined biological effects of silver nanoparticles and heavy metals in different target cell lines.,"Wang X,Xu A,Liu Y",Environmental science and pollution research international,2022,3,
34649589,Sulourea-coordinated Pd nanocubes for NIR-responsive photothermal/H<sub>2</sub>S therapy of cancer.,"Guo X,Liu J,Jiang L,Gong W,Wu H,He Q",Journal of nanobiotechnology,2021,10,14
34647857,"Evaluation of multiple fixed in-room air cleaners with ultraviolet germicidal irradiation, in high-occupancy areas of selected commercial indoor environments.","Lee LD,Delclos G,Berkheiser ML,Barakat MT,Jensen PA",Journal of occupational and environmental hygiene,2022,1,
34643868,"Distribution, bioavailability, and human health risk assessment of arsenic in groundwater-soil-rice system in the Jianghan Plain, Central China.","Yu H,Ma T,Du Y,Shen S,Han Z",Environmental science and pollution research international,2022,3,
34642490,Anemia prevalence in women of reproductive age in low- and middle-income countries between 2000 and 2018.,"Kinyoki D,Osgood-Zimmerman AE,Bhattacharjee NV,Kassebaum NJ,Hay SI",Nature medicine,2021,10,
34639764,Environmental/Occupational Exposure to Radon and Non-Pulmonary Neoplasm Risk: A Review of Epidemiologic Evidence.,"Mozzoni P,Pinelli S,Corradi M,Ranzieri S,Cavallo D,Poli D",International journal of environmental research and public health,2021,10,5
34639699,"Community-Level Analysis of Drinking Water Data Highlights the Importance of Drinking Water Metrics for the State, Federal Environmental Health Justice Priorities in the United States.","Uche UI,Evans S,Rundquist S,Campbell C,Naidenko OV",International journal of environmental research and public health,2021,10,2
34639686,"Ambient Ozone, PM<sub>1</sub> and Female Lung Cancer Incidence in 436 Chinese Counties.","Guo H,Liu J,Wei J",International journal of environmental research and public health,2021,10,2
34639400,Urinary Concentrations of Bisphenol Mixtures during Pregnancy and Birth Outcomes: The MAKE Study.,"Kim S,Park E,Park EK,Lee S,Kwon JA,Shin BH,Kang S,Park EY,Kim B",International journal of environmental research and public health,2021,9,26
34638358,Detection of Persistent Organic Pollutants in Omental Adipose Tissue from Patients with Diffuse-Gastric Cancer: A Pilot Study.,"Perrot-Applanat M,Pimpie C,Cano-Sancho G,Antignac JP,Pocard M",Cancers,2021,9,29
34637123,"In vivo assessment of APPJ discharge on the earthworm: coelomic TAC and MDA levels, cell death, and tissue regeneration.","Gholami N,Colagar AH,Sinkakarimi MH,Sohbatzadeh F",Environmental science and pollution research international,2022,3,
34634922,A Mixed Methods Population Health Approach to Explore Radon-Induced Lung Cancer Risk Perception in Canada.,"Khan SM,Gomes J,Chreim S",Cancer control : journal of the Moffitt Cancer Center,2021,,
34634310,Long-term nitrogen dioxide exposure and cause-specific mortality in the U.S. Medicare population.,"Eum KD,Honda TJ,Wang B,Kazemiparkouhi F,Manjourides J,Pun VC,Pavlu V,Suh H",Environmental research,2022,5,1
34629730,"Contribution of toxicologic pathologists for the safety of human health in biomedical research-past, present, and future of the JSTP.","Enomoto M,Iwata H,Iida M",Journal of toxicologic pathology,2021,10,
34629184,Extracellular vesicle interactions with the external and internal exposome in mediating carcinogenesis.,"Kalita-de Croft P,Sharma S,Sobrevia L,Salomon C",Molecular aspects of medicine,2022,10,
34629060,"Exploring health in the UK Biobank: associations with sociodemographic characteristics, psychosocial factors, lifestyle and environmental exposures.","Mutz J,Roscoe CJ,Lewis CM",BMC medicine,2021,10,11
34628616,Implications of environmental toxicants on ovarian follicles: how it can adversely affect the female fertility?,"Priya K,Setty M,Babu UV,Pai KSR",Environmental science and pollution research international,2021,12,
34628245,Regional cost effectiveness analyses for increasing radon protection strategies in housing in Canada.,"Gaskin J,Whyte J,Zhou LG,Coyle D",Journal of environmental radioactivity,2021,12,
34626652,"Groundwater geochemistry, quality, and pollution of the largest lake basin in the Middle East: Comparison of PMF and PCA-MLR receptor models and application of the source-oriented HHRA approach.","Haghnazar H,Johannesson KH,González-Pinzón R,Pourakbar M,Aghayani E,Rajabi A,Hashemi AA",Chemosphere,2022,2,
34625867,"Spatial distribution, pollution level, and health risk of Pb in the finer dust of residential areas: a case study of Xi'an, northwest China.","Yu B,Lu X,Fan X,Fan P,Zuo L,Yang Y,Wang L",Environmental geochemistry and health,2022,10,
34625469,Changes in exposure to ambient fine particulate matter after relocating and long term survival in Canada: quasi-experimental study.,"Chen H,Kaufman JS,Olaniyan T,Pinault L,Tjepkema M,Chen L,van Donkelaar A,Martin RV,Hystad P,Chen C,Kirby-McGregor M,Bai L,Burnett RT,Benmarhnia T",BMJ (Clinical research ed.),2021,10,8
34624536,PM<sub>2.5</sub> promoted lipid accumulation in macrophage via inhibiting JAK2/STAT3 signaling pathways and aggravating the inflammatory reaction.,"Yang L,Song Z,Pan Y,Zhao T,Shi Y,Xing J,Ju A,Zhou L,Ye L",Ecotoxicology and environmental safety,2021,12,15
34624346,"Characteristics of PAHs, PCDD/Fs, PCBs and PCNs in atmospheric fine particulate matter in Dalian, China.","A M,Cao R,Geng N,Zhu X,Chen J",Chemosphere,2022,2,
34623531,"Ecological risk assessment of heavy metal pollution in sediments of Nile River, Egypt.","Goher ME,Mangood AH,Mousa IE,Salem SG,Hussein MM",Environmental monitoring and assessment,2021,10,8
34622241,Greenspace and human health: An umbrella review.,"Yang BY,Zhao T,Hu LX,Browning MHEM,Heinrich J,Dharmage SC,Jalaludin B,Knibbs LD,Liu XX,Luo YN,James P,Li S,Huang WZ,Chen G,Zeng XW,Hu LW,Yu Y,Dong GH",Innovation (Cambridge (Mass.)),2021,11,28
34619586,"Vermiremediation of engine oil contaminated soil employing indigenous earthworms, Drawida modesta and Lampito mauritii.","Rajadurai M,Karmegam N,Kannan S,Yuvaraj A,Thangaraj R",Journal of environmental management,2022,1,1
34619159,Arsenic-protein interactions as a mechanism of arsenic toxicity.,"Vergara-Gerónimo CA,León Del Río A,Rodríguez-Dorantes M,Ostrosky-Wegman P,Salazar AM",Toxicology and applied pharmacology,2021,11,15
34619123,Long-term exposure to transportation noise and risk for atrial fibrillation: A Danish nationwide cohort study.,"Thacher JD,Poulsen AH,Hvidtfeldt UA,Raaschou-Nielsen O,Ketzel M,Jensen SS,Brandt J,Valencia VH,Münzel T,Sørensen M",Environmental research,2022,5,1
34619029,Carbon nanomaterial-involved EMT and CSC in cancer.,"Yang X,Xu G,Liu X,Zhou G,Zhang B,Wang F,Wang L,Li B,Li L",Reviews on environmental health,2023,3,28
34618433,"Associations between Novel and Legacy Per- and Polyfluoroalkyl Substances in Human Serum and Thyroid Cancer: A Case and Healthy Population in Shandong Province, East China.","Liu M,Zhang G,Meng L,Han X,Li Y,Shi Y,Li A,Turyk ME,Zhang Q,Jiang G",Environmental science & technology,2022,5,17
34617245,"Evaluation of potential human health risks from exposure to volatile organic compounds in contaminated urban groundwater in the Sava river aquifer, Belgrade, Serbia.","Bulatović S,Ilić M,Šolević Knudsen T,Milić J,Pucarević M,Jovančićević B,Vrvić MM",Environmental geochemistry and health,2022,10,
34613654,Recent Advances on Carbon Monoxide Releasing Molecules for Antibacterial Applications.,"Cheng J,Hu J",ChemMedChem,2021,12,14
34612763,Dimensional determinants for the carcinogenic potency of elongate amphibole particles.,"Korchevskiy AA,Wylie AG",Inhalation toxicology,2021,,
34610407,Diesel exhaust exposure in mice induces pulmonary fibrosis by TGF-β/Smad3 signaling pathway.,"Singh N,Arora N",The Science of the total environment,2022,2,10
34610396,Photo-enhanced toxicity of crude oil on early developmental stages of Atlantic cod (Gadus morhua).,"Aranguren-Abadía L,Yadetie F,Donald CE,Sørhus E,Myklatun LE,Zhang X,Lie KK,Perrichon P,Nakken CL,Durif C,Shema S,Browman HI,Skiftesvik AB,Goksøyr A,Meier S,Karlsen OA",The Science of the total environment,2022,2,10
